update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
1220ee2bceba441effc41cfb15a83654c1db9dd0b1e1c76c5b79bd7af2edb4942f95,marker,2026-05-07T20:15:32.105937Z,2026-05-08T01:27:46.919Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220a0280343e72114c439e8d981280899e2227d3a9be2e86dbf717fa5826480413d,marker,2026-05-07T20:20:34.592550Z,2026-05-08T01:27:47.309Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122027a3cbe394894e19f3758d06b89062ff0057bbf1f20d89dc89d3b451017b4979,marker,2026-05-07T20:25:34.535702Z,2026-05-08T01:27:47.667Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ed3eb111f1f8811159c8cdf2a7ff86c6b09f40cd851a6ab1b845fe6614c9df1f,marker,2026-05-07T20:30:37.556058Z,2026-05-08T01:27:48.077Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220098f411b9837f5296b5d52b9fc18b3949653fd3155e251a61e2c9da2b0acc133,marker,2026-05-07T20:35:41.299170Z,2026-05-08T01:27:48.507Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220cdab048e1b770808ed80d1b794efb51a3e37111974617745743b9538d6899750,marker,2026-05-07T20:40:43.658040Z,2026-05-08T01:27:48.926Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220b87ab6dea518139bf42bd425f63bc5ec9899f0325bed24a46400e75485d0ff34,marker,2026-05-07T20:45:46.247240Z,2026-05-08T01:27:49.361Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12204434d272bbdecc6f92c529d22f2956a49358575eb3125219500dbb779ff9f39e,marker,2026-05-07T20:50:48.861509Z,2026-05-08T01:27:49.764Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12206eb6c4fa96908c00a13e96b05e1e44cd3f546d3f3e67d14971f020d671d1fb59,marker,2026-05-07T20:55:51.228496Z,2026-05-08T01:27:50.203Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220f7777fc8ac4abd5cd27dbd79b9808e6858c962d216cb27537b0cd5cd95ec0fa7,marker,2026-05-07T21:00:53.701030Z,2026-05-08T01:27:50.617Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
